"","ID","Ecosystem","Av_C","SE_C","M_C","Av_Mud","SE_Mud","M_Mud","Av_13C","SE_13C","M_13C","Av_C_25","SE_C_25","M_C_25","Av_Mud_25","SE_Mud_25","M_Mud_25","Av_13C_25","SE_13C_25","M_13C_25"
"1","Mg_001","Mangrove",19.0842612909091,1.25528140959697,20.5676831,NA,NA,NA,NA,NA,NA,18.5121942117647,1.60203317349232,20.4953662,NA,NA,NA,NA,NA,NA
"2","Mg_002","Mangrove",18.4663319166667,0.421787393216635,18.5076186,NA,NA,NA,NA,NA,NA,18.75914322,0.471918491322295,19.1401648,NA,NA,NA,NA,NA,NA
"3","Mg_003","Mangrove",26.17496113125,0.664248399511661,26.8567141,NA,NA,NA,NA,NA,NA,26.281563452,0.814053198465385,27.102322,NA,NA,NA,NA,NA,NA
"4","Mg_004","Mangrove",25.6791798296296,1.3820714646525,28.42413,NA,NA,NA,NA,NA,NA,25.407793576,1.47900297958971,28.42413,NA,NA,NA,NA,NA,NA
"5","Mg_005","Mangrove",22.9294279904762,1.37089947716539,24.1377329,NA,NA,NA,NA,NA,NA,22.7756727,1.69444568506287,24.490359,NA,NA,NA,NA,NA,NA
"6","Mg_009","Mangrove",27.4003318,0.788563077722347,28.08102735,NA,NA,NA,NA,NA,NA,27.358293248,0.946981081259924,28.4504804,NA,NA,NA,NA,NA,NA
"7","Mg_010","Mangrove",15.1428571428571,1.14285714285714,14.5,NA,NA,NA,NA,NA,NA,15.1428571428571,1.14285714285714,14.5,NA,NA,NA,NA,NA,NA
"8","Mg_011","Mangrove",18.15,1.73701952841793,20.5,NA,NA,NA,NA,NA,NA,18.15,1.73701952841793,20.5,NA,NA,NA,NA,NA,NA
"9","Mg_012","Mangrove",19.2105263157895,0.510583586345798,19,NA,NA,NA,NA,NA,NA,19.2105263157895,0.510583586345798,19,NA,NA,NA,NA,NA,NA
"10","Mg_013","Mangrove",42.4615384615385,0.368910117177902,42,NA,NA,NA,NA,NA,NA,42.4615384615385,0.368910117177902,42,NA,NA,NA,NA,NA,NA
"11","Mg_014","Mangrove",29.875,0.314576434802948,30,NA,NA,NA,NA,NA,NA,29.5789473684211,0.299275826477754,30,NA,NA,NA,NA,NA,NA
"12","Mg_015","Mangrove",3.3295,0.218455674174299,3.425,NA,NA,NA,NA,NA,NA,3.63333333333333,0.307520221885792,3.745,NA,NA,NA,NA,NA,NA
"13","Mg_016","Mangrove",10.0279,0.433128690612362,9.6465,NA,NA,NA,NA,NA,NA,10.9293333333333,0.561450979178238,11.3675,NA,NA,NA,NA,NA,NA
"14","Mg_017","Mangrove",1.06708181596774,0.0627389264683583,1.041622071,3.01763785635484,0.637233250198842,1.313694268,NA,NA,NA,1.07825516,0.085964537757099,0.913947521,1.0063229205,0.070515823257496,1.313694268,NA,NA,NA
"15","Mg_018","Mangrove",1.15786088580645,0.0713361171000146,1.044982142,3.77056456451613,0.549271730834878,2.0938872,NA,NA,NA,1.0144022215,0.0104290690076515,0.995073973,2.030403591,0.0145641387474868,2.0938872,NA,NA,NA
"16","Mg_019","Mangrove",2.31353971235714,0.0974346079840174,2.0850838195,16.2073471435714,0.432867354836964,15.73957016,NA,NA,NA,2.32704458188889,0.120019631132033,2.073439717,16.4627630422222,0.57414961011098,15.73957016,NA,NA,NA
"17","Mg_020","Mangrove",2.60668310742424,0.407161791656535,1.455632804,14.3956166781818,1.13949124627353,13.46153846,NA,NA,NA,0.9914226,0.0848241968679741,0.9572857245,10.442109436,0.692704525411034,13.46153846,NA,NA,NA
"18","Mg_021","Mangrove",1.41468521013208,0.134298271604014,1.07981488,11.4158892632075,1.78813312904045,5.129379437,NA,NA,NA,1.0001679256,0.0168276158343739,0.915097356,5.129379437,0,5.129379437,NA,NA,NA
"19","Mg_023","Mangrove",5.13995697235294,0.531057931334314,6.349530981,37.56785375,2.86056392287686,42.48665,NA,NA,NA,7.50128620915789,0.344676205547363,7.109830159,46.288425,2.10043123912853,42.48665,NA,NA,NA
"20","Mg_024","Mangrove",3.08824633055882,0.520531873752607,1.208739498,38.1033666666667,6.71032030679187,11.798,NA,NA,NA,4.7757191886,0.656434781774426,5.692530075,63.42032,7.91143518129612,11.798,NA,NA,NA
"21","Mg_025","Mangrove",2.89028018911429,0.44951309304161,2.50057083,32.634395,4.94504101187112,31.2075,NA,NA,NA,4.62202324725,0.509567235572548,4.033857376,58.425525,3.19223827845891,31.2075,NA,NA,NA
"22","Mg_026","Mangrove",2.6550780855,1.96715477601951,0.7842368705,NA,NA,NA,NA,NA,NA,6.7659154495,5.7104398805,6.7659154495,NA,NA,NA,NA,NA,NA
"23","Mg_027","Mangrove",1.98916920866667,0.570010483871364,1.8833173825,NA,NA,NA,NA,NA,NA,2.882018257,0.116851713,2.882018257,NA,NA,NA,NA,NA,NA
"24","Mg_028","Mangrove",3.20533308316667,2.25852474456863,1.201782729,NA,NA,NA,NA,NA,NA,7.9125667665,6.5574921335,7.9125667665,NA,NA,NA,NA,NA,NA
"25","Mg_029","Mangrove",3.597622066,0.890268822314129,2.7013715595,NA,NA,NA,NA,NA,NA,6.192766972,1.123382422,6.192766972,NA,NA,NA,NA,NA,NA
"26","Mg_030","Mangrove",5.72468373148485,0.876613354478772,5.0793126,NA,NA,NA,NA,NA,NA,8.83749976835,0.91440078879197,9.385936119,NA,NA,NA,NA,NA,NA
"27","Mg_031","Mangrove",3.86442863233333,0.931145976011044,4.1277372185,NA,NA,NA,NA,NA,NA,5.0422333155,0.0753624625000002,5.0422333155,NA,NA,NA,NA,NA,NA
"28","Mg_032","Mangrove",4.07934723366667,0.694520391309617,3.4300682405,NA,NA,NA,NA,NA,NA,4.6210213355,0.8763900745,4.6210213355,NA,NA,NA,NA,NA,NA
"29","Mg_033","Mangrove",6.6736636435,0.976344836216955,6.8172192895,NA,NA,NA,NA,NA,NA,6.796061625,0.434545354,6.796061625,NA,NA,NA,NA,NA,NA
"30","Mg_034","Mangrove",7.62886720285294,0.484000480667838,7.795705107,59.85705,3.4446893340166,64.9731,NA,NA,NA,8.66305083181818,0.403124018965845,8.408071063,69.47605,1.96493004277176,64.9731,NA,NA,NA
"31","Mg_035","Mangrove",8.20802794393939,0.545553496276064,8.928007648,63.85953,1.88584409024994,64.3846,NA,NA,NA,9.305116089,0.498710871659758,9.674348636,66.1758857142857,2.44916811895483,64.3846,NA,NA,NA
"32","Mg_036","Mangrove",3.14016546245833,0.192914847231104,2.975528224,20.3972950979149,1.84676645151275,12.83178063,NA,NA,NA,2.149851098,0.162596871586012,2.117284078,10.8338611538095,0.0998959738095238,12.83178063,NA,NA,NA
